old_code,old_naam,new_code,new_naam,pct_retained,n_new_touched,n_old_mapping_here,change_type
BU00030000,Appingedam-Centrum,BU19791149,Centrum-Appingedam,30.0,8,1,split
BU00030001,Appingedam-West,BU19791469,Buitengebied Noord-Appingedam,38.1,9,3,merged
BU00030002,Appingedam-Oost,BU19791256,Opwierde Noord,19.4,14,1,split
BU00030007,Verspreide huizen Damsterdiep en Eemskanaal,BU19791469,Buitengebied Noord-Appingedam,84.0,10,3,merged
BU00030008,Verspreide huizen ten zuiden van Eemskanaal,BU19791572,Buitengebied Zuid-Appingedam,81.1,7,1,split
BU00030009,Verspreide huizen ten noorden van het Damsterdiep,BU19791469,Buitengebied Noord-Appingedam,94.1,5,3,merged
BU00050000,Bedum,BU19660809,Bedum Noord - West,32.8,6,1,split
BU00050001,Verspreide huizen Bedum,BU19660802,Buitengebied Bedum,93.7,7,2,merged
BU00050002,Zuidwolde,BU19660803,Zuidwolde,55.7,2,1,split
BU00050003,Verspreide huizen Zuidwolde,BU19660801,Buitengebied Noord- en Zuidwolde,99.5,4,2,recoded (gemeente change)
BU00050004,Onderdendam,BU19660810,Onderdendam,56.3,2,1,split
BU00050005,Verspreide huizen Onderdendam,BU19660802,Buitengebied Bedum,99.9,4,2,recoded (gemeente change)
BU00050006,Noordwolde,BU19660804,Noordwolde,63.6,2,1,split
BU00050007,Verspreide huizen Noordwolde,BU19660801,Buitengebied Noord- en Zuidwolde,95.6,3,2,merged
BU00070000,Bellingwolde,BU19500000,Bellingwolde,100.0,1,1,recoded (gemeente change)
BU00070001,Vriescheloo,BU19500001,Vriescheloo,100.0,1,1,recoded (gemeente change)
BU00070002,Rhederweg-West,BU19500002,Rhederweg-West,100.0,1,1,recoded (gemeente change)
BU00070004,Vriescheloo-Zuid,BU19500004,Vriescheloo-Zuid,100.0,1,1,recoded (gemeente change)
BU00070005,Oudeschans,BU19500005,Oudeschans,100.0,1,1,recoded (gemeente change)
BU00070006,Klein-Ulsda,BU19500006,Klein-Ulsda,100.0,1,1,recoded (gemeente change)
BU00070007,Verspreide huizen ten zuidoosten van Bellingwolde,BU19500007,Verspreide huizen ten zuidoosten van Bellingwolde,100.0,1,1,recoded (gemeente change)
BU00070008,Verspreide huizen ten zuidoosten van Vriescheloo,BU19500008,Verspreide huizen ten zuidoosten van Vriescheloo,100.0,1,1,recoded (gemeente change)
BU00070009,Verspreide huizen Westerwoldse A,BU19500009,Verspreide huizen Westerwoldse A,100.0,1,1,recoded (gemeente change)
BU00070100,Veelerveen,BU19500100,Veelerveen,100.0,1,1,recoded (gemeente change)
BU00070101,Rhederbrug-Oost,BU19500101,Rhederbrug-Oost,100.0,1,1,recoded (gemeente change)
BU00070108,Verspreide huizen ten noordoosten van Rhederbrug,BU19500108,Verspreide huizen ten noordoosten van Rhederbrug,100.0,2,1,recoded (gemeente change)
BU00070109,Verspreide huizen Veelerveen,BU19500109,Verspreide huizen Veelerveen,100.0,1,1,recoded (gemeente change)
BU00070200,Blijham,BU19500200,Blijham,100.0,1,1,recoded (gemeente change)
BU00070201,Morige,BU19500201,Morige,100.0,1,1,recoded (gemeente change)
BU00070202,Wedde,BU19500202,Wedde,100.0,1,1,recoded (gemeente change)
BU00070203,Wedderheide,BU19500203,Wedderheide,100.0,1,1,recoded (gemeente change)
BU00070204,Wedderveer,BU19500204,Wedderveer,100.0,1,1,recoded (gemeente change)
BU00070206,Verspreide huizen in de polder Blijham,BU19500206,Verspreide huizen in de polder Blijham,100.0,1,1,recoded (gemeente change)
BU00070207,Verspreide huizen ten westen van Blijham,BU19500207,Verspreide huizen ten westen van Blijham,100.0,1,1,recoded (gemeente change)
BU00070208,Verspreide huizen Hoorn,BU19500208,Verspreide huizen Hoorn,100.0,1,1,recoded (gemeente change)
BU00070209,Verspreide huizen in de Weddermarke,BU19500209,Verspreide huizen in de Weddermarke,100.0,1,1,recoded (gemeente change)
BU00090000,Ten Boer,BU00141500,Ten Boer Dorp,88.8,4,1,split
BU00090001,Garmerwolde,BU00141502,Garmerwolde,100.0,1,1,recoded (gemeente change)
BU00090002,Thesinge,BU00141503,Thesinge,100.0,1,3,recoded (gemeente change)
BU00090003,Sint-Annen,BU00141504,Sint Annen,100.0,1,1,recoded (gemeente change)
BU00090005,Achter-Thesinge en Bovenrijge,BU00141503,Thesinge,76.4,3,3,merged
BU00090009,Verspreide huizen ten noorden van het Eemskanaal,BU00141503,Thesinge,32.5,10,3,merged
BU00090100,Ten Post,BU00141600,Ten Post Dorp,74.6,2,1,split
BU00090101,Winneweer (gedeeltelijk),BU00141603,Winneweer,100.0,1,1,recoded (gemeente change)
BU00090102,Woltersum,BU00141602,Woltersum,100.0,1,1,recoded (gemeente change)
BU00090104,Wittewierum,BU00141604,Wittewierum,61.4,2,1,split
BU00090106,Lellens,BU00141601,Lellens,100.0,1,1,recoded (gemeente change)
BU00090109,Verspreide huizen ten noorden van het Eemskanaal,BU00141605,Buitengebied Ten Post,60.7,10,1,split
BU00100000,Delfzijl-Centrum,BU19790831,Oosterhorn,68.2,6,2,merged
BU00100001,Farmsum,BU19790309,Koveltemp,41.9,12,1,split
BU00100002,Delfzijl-Noord,BU19790626,Bornholm,29.6,11,1,split
BU00100003,Delfzijl-West,BU19790203,Scheepvaartbuurt,32.4,16,1,split
BU00100004,Fivelzigt,BU19790518,Fivelmonde,67.2,10,1,split
BU00100005,Tuikwerd,BU19791016,Eelwerd,21.4,16,1,split
BU00100103,Meedhuizen,BU19790932,Meedhuizen,52.7,2,1,split
BU00100104,Uitwierde,BU19790739,Buitengebied Noord-Bierum,67.0,2,6,merged
BU00100107,Verspreide huizen Eemskanaal (ten zuiden),BU19790945,Buitengebied Zuid-Termunten,99.2,4,5,recoded (gemeente change)
BU00100108,Industrieterrein,BU19790831,Oosterhorn,87.5,5,2,merged
BU00100109,Verspreide huizen in het noorden,BU19790739,Buitengebied Noord-Bierum,95.5,5,6,merged
BU00100200,Woldendorp,BU19790943,Woldendorp,50.3,2,1,split
BU00100201,Termunten,BU19790945,Buitengebied Zuid-Termunten,52.9,3,5,merged
BU00100202,Termunterzijl,BU19790941,Termunterzijl,66.2,2,1,split
BU00100203,Borgsweer,BU19790945,Buitengebied Zuid-Termunten,56.2,2,5,merged
BU00100205,Wagenborgen,BU19790944,Wagenborgen,66.7,2,1,split
BU00100207,Verspreide huizen Wagenborgen,BU19790945,Buitengebied Zuid-Termunten,98.8,2,5,merged
BU00100209,Verspreide huizen Termunten,BU19790945,Buitengebied Zuid-Termunten,99.4,8,5,recoded (gemeente change)
BU00100300,Bierum,BU19790739,Buitengebied Noord-Bierum,51.9,2,6,merged
BU00100301,Spijk,BU19790738,Spijk,59.9,2,1,split
BU00100302,Holwierde,BU19790733,Holwierde,54.4,2,1,split
BU00100303,Godlinze,BU19790735,Godlinze,58.5,2,1,split
BU00100304,Losdorp,BU19790739,Buitengebied Noord-Bierum,60.0,2,6,merged
BU00100305,Krewerd,BU19790739,Buitengebied Noord-Bierum,79.7,2,6,merged
BU00100309,Verspreide huizen Bierum,BU19790739,Buitengebied Noord-Bierum,99.6,8,6,recoded (gemeente change)
BU00109998,,BU19799998,Buitenwater,99.8,6,1,recoded (gemeente change)
BU00140000,Binnenstad-Noord,BU00140000,Binnenstad-Noord,100.0,1,1,unchanged
BU00140001,Binnenstad-Zuid,BU00140001,Binnenstad-Zuid,100.0,1,1,unchanged
BU00140002,Binnenstad-Oost,BU00140002,Binnenstad-Oost,100.0,1,1,unchanged
BU00140003,Binnenstad-West,BU00140003,Binnenstad-West,100.0,1,1,unchanged
BU00140004,Noorderplantsoen,BU00140004,Noorderplantsoen,100.0,1,1,unchanged
BU00140005,Hortusbuurt,BU00140005,Hortusbuurt-Ebbingekwartier,100.0,1,2,unchanged
BU00140006,Ebbingekwartier,BU00140005,Hortusbuurt-Ebbingekwartier,100.0,1,2,recoded
BU00140007,UMCG,BU00140007,UMCG,100.0,1,1,unchanged
BU00140008,Stationsgebied,BU00140008,Stationsgebied,100.0,1,1,unchanged
BU00140100,De Meeuwen,BU00140100,De Meeuwen,100.0,1,1,unchanged
BU00140101,Oosterpoort,BU00140101,Oosterpoort,100.0,1,1,unchanged
BU00140102,Herewegbuurt,BU00140102,Herewegbuurt,100.0,1,1,unchanged
BU00140103,Rivierenbuurt,BU00140103,Rivierenbuurt,100.0,1,1,unchanged
BU00140104,Grunobuurt,BU00140104,Grunobuurt,100.0,1,1,unchanged
BU00140105,Badstratenbuurt,BU00140105,Badstratenbuurt,100.0,1,1,unchanged
BU00140106,Zeeheldenbuurt,BU00140106,Zeeheldenbuurt,100.0,1,1,unchanged
BU00140107,Laanhuizen,BU00140107,Laanhuizen,100.0,1,1,unchanged
BU00140108,Stadspark,BU00140108,Stadspark,100.0,1,1,unchanged
BU00140109,Martini Trade Park,BU00140109,Martini Trade Park,100.0,1,1,unchanged
BU00140200,Oranjebuurt,BU00140200,Oranjebuurt,100.0,1,1,unchanged
BU00140201,Noorderplantsoenbuurt,BU00140201,Noorderplantsoenbuurt,100.0,1,1,unchanged
BU00140202,Schildersbuurt,BU00140202,Schildersbuurt,100.0,1,1,unchanged
BU00140203,Kostverloren,BU00140203,Kostverloren,100.0,1,1,unchanged
BU00140300,De Hoogte,BU00140303,De Hoogte,61.8,2,1,split
BU00140301,Indische buurt,BU00140301,Indische buurt,100.0,1,1,unchanged
BU00140302,Professorenbuurt,BU00140302,Professorenbuurt,100.0,1,1,unchanged
BU00140400,Gorechtbuurt,BU00140400,Gorechtbuurt,100.0,1,1,unchanged
BU00140401,Vogelbuurt,BU00140401,Vogelbuurt,100.0,1,1,unchanged
BU00140402,Bloemenbuurt,BU00140402,Bloemenbuurt,100.0,1,1,unchanged
BU00140403,Florabuurt,BU00140403,Florabuurt,100.0,1,1,unchanged
BU00140404,Damsterbuurt,BU00140404,Damsterbuurt,100.0,1,1,unchanged
BU00140500,De Linie,BU00140500,De Linie,100.0,1,1,unchanged
BU00140501,Europapark,BU00140501,Europapark,100.0,1,1,unchanged
BU00140502,Eemskanaal,BU00140512,Eemskanaal-Noord,52.8,2,1,split
BU00140503,Kop van Oost,BU00140503,Kop van Oost,100.0,1,1,unchanged
BU00140504,Woonschepenhaven,BU00140504,Woonschepenhaven,100.0,1,1,unchanged
BU00140505,Driebond,BU00140505,Driebond,100.0,1,1,unchanged
BU00140506,Eemspoort,BU00140506,Eemspoort,100.0,1,1,unchanged
BU00140507,Euvelgunne,BU00140507,Euvelgunne,100.0,1,1,unchanged
BU00140508,Winschoterdiep,BU00140508,Winschoterdiep,100.0,1,1,unchanged
BU00140509,Stainkoel'n,BU00140509,Stainkoel'n,100.0,1,1,unchanged
BU00140510,Roodehaan,BU00140510,Roodehaan,100.0,1,1,unchanged
BU00140511,Waterhuizen,BU00140511,Waterhuizen,100.0,1,1,unchanged
BU00140600,Sterrebosbuurt,BU00140600,Sterrebosbuurt,100.0,1,1,unchanged
BU00140601,Coendersborg,BU00140601,Coendersborg,100.0,1,1,unchanged
BU00140602,Klein Martijn,BU00140602,Klein Martijn,100.0,1,1,unchanged
BU00140603,Villabuurt,BU00140603,Villabuurt,100.0,1,1,unchanged
BU00140604,Helpman,BU00140604,Helpman,100.0,1,1,unchanged
BU00140605,De Wijert,BU00140605,De Wijert,100.0,1,1,unchanged
BU00140606,De Wijert-Zuid,BU00140606,De Wijert-Zuid,100.0,1,1,unchanged
BU00140700,Corpus den Hoorn,BU00140700,Corpus den Hoorn,100.0,1,1,unchanged
BU00140701,Hoornse Meer,BU00140701,Hoornse Meer,100.0,1,1,unchanged
BU00140702,Hoornse Park,BU00140702,Hoornse Park,100.0,1,1,unchanged
BU00140703,Van Swieten,BU00140703,Van Swieten,100.0,1,1,unchanged
BU00140704,Piccardthof,BU00140704,Piccardthof,100.0,1,1,unchanged
BU00140705,Bruilweering,BU00140705,Bruilweering,100.0,1,1,unchanged
BU00140800,Hoogkerk Dorp,BU00140800,Hoogkerk Dorp,100.0,3,1,unchanged
BU00140801,Hoogkerk-Zuid,BU00140801,Hoogkerk-Zuid,100.0,1,1,unchanged
BU00140802,Westpoort,BU00140802,Westpoort,100.0,1,2,unchanged
BU00140803,Vierverlaten,BU00140802,Westpoort,55.7,2,2,merged
BU00140804,Zuidwending,BU00140804,Zuidwending,100.0,1,1,unchanged
BU00140805,Leegkerk,BU00140805,Leegkerk,100.0,1,1,unchanged
BU00140806,Gravenburg,BU00140806,Gravenburg,68.6,4,1,split
BU00140807,Suikerfabriekterrein,BU00140908,De Suikerzijde-Noord,100.0,1,1,recoded
BU00140808,Peizerweg,BU00140110,Peizerweg,100.0,1,1,recoded
BU00140809,Bangeweer,BU00140909,De Suikerzijde-Zuid,82.2,2,1,split
BU00140810,De Buitenhof,BU00140810,De Buitenhof,100.0,1,1,unchanged
BU00140811,Kranenburg,BU00140811,Kranenburg,100.0,1,1,unchanged
BU00140812,De Kring,BU00140812,De Kring,100.0,1,1,unchanged
BU00140900,Vinkhuizen-Noord,BU00140900,Vinkhuizen-Noord,88.7,2,1,split
BU00140901,Vinkhuizen-Zuid,BU00140901,Vinkhuizen-Zuid,100.0,1,1,unchanged
BU00140902,Hoendiep,BU00140902,Hoendiep,100.0,1,1,unchanged
BU00140903,Friesestraatweg,BU00140903,Reitdiepswaard,100.0,1,1,unchanged
BU00140904,Reitdiep,BU00140904,Reitdiep,100.0,1,1,unchanged
BU00140905,Dorkwerd,BU00140905,Dorkwerd,100.0,1,1,unchanged
BU00140906,De Held,BU00140906,De Held,61.7,3,1,split
BU00140907,Westpark,BU00140907,Westpark,99.4,2,1,unchanged
BU00141000,Selwerd,BU00141000,Selwerd,100.0,1,1,unchanged
BU00141001,Paddepoel-Zuid,BU00141001,Paddepoel-Zuid,100.0,1,1,unchanged
BU00141002,Paddepoel-Noord,BU00141002,Paddepoel-Noord,100.0,1,1,unchanged
BU00141003,Zernike Campus,BU00141003,Zernike Campus,100.0,1,1,unchanged
BU00141004,Selwerderhof,BU00141004,Selwerderhof,100.0,1,1,unchanged
BU00141005,Tuinwijk,BU00141005,Tuinwijk,100.0,1,1,unchanged
BU00141100,Beijum-West,BU00141100,Beijum-West,100.0,1,1,unchanged
BU00141101,Beijum-Oost,BU00141101,Beijum-Oost,100.0,1,1,unchanged
BU00141102,De Hunze,BU00141102,De Hunze,100.0,1,1,unchanged
BU00141103,Van Starkenborgh,BU00141103,Van Starkenborgh,100.0,1,1,unchanged
BU00141104,Noorderhoogebrug,BU00141104,Noorderhoogebrug,100.0,1,1,unchanged
BU00141105,Het Witte Lam,BU00141105,Het Witte Lam,100.0,1,1,unchanged
BU00141106,Koningslaagte,BU00141106,Koningslaagte,100.0,1,1,unchanged
BU00141107,Hunzeboord,BU00141107,Hunzeboord,100.0,1,1,unchanged
BU00141200,Lewenborg-Noord,BU00141200,Lewenborg-Noord,100.0,1,1,unchanged
BU00141201,Lewenborg-Zuid,BU00141201,Lewenborg-Zuid,100.0,1,1,unchanged
BU00141202,Lewenborg-West,BU00141202,Lewenborg-West,100.0,1,1,unchanged
BU00141203,Oosterhoogebrug,BU00141213,Oosterhoogebrug,68.3,5,1,split
BU00141204,Ulgersmaborg,BU00141214,Ulgersmaborg,49.6,4,1,split
BU00141205,Hunzepark,BU00141205,Hunzepark,100.0,1,1,unchanged
BU00141206,Zilvermeer,BU00141206,Zilvermeer,100.0,1,1,unchanged
BU00141207,Kardinge,BU00141207,Kardinge,100.0,1,1,unchanged
BU00141208,Drielanden,BU00141208,Drielanden,100.0,1,1,unchanged
BU00141209,Noorddijk,BU00141209,Noorddijk,100.0,1,1,unchanged
BU00141210,Ruischerbrug,BU00141210,Ruischerbrug,100.0,1,1,unchanged
BU00141211,Ruischerwaard,BU00141211,Ruischerwaard,100.0,1,1,unchanged
BU00141300,Middelbert,BU00141305,De Eems,61.2,3,1,split
BU00141301,Engelbert,BU00141301,Engelbert,98.9,3,1,split
BU00141302,Klein Harkstede,BU00141302,Klein Harkstede,79.7,2,1,split
BU00150000,Grootegast,BU19690000,Grootegast,100.0,1,1,recoded (gemeente change)
BU00150001,Doezum,BU19690001,Doezum,100.0,1,1,recoded (gemeente change)
BU00150002,Sebaldeburen,BU19690002,Sebaldeburen,100.0,1,1,recoded (gemeente change)
BU00150006,Het Peebos,BU19690006,Het Peebos,100.0,1,1,recoded (gemeente change)
BU00150007,Verspreide huizen ten zuiden van Sebaldeburen,BU19690007,Verspreide huizen ten zuiden van Sebaldeburen,100.0,1,1,recoded (gemeente change)
BU00150008,Verspreide huizen ten zuiden van Grootegast,BU19690008,Verspreide huizen ten zuiden van Grootegast,100.0,1,1,recoded (gemeente change)
BU00150009,Overige verspreide huizen,BU19690009,Overige verspreide huizen,100.0,1,1,recoded (gemeente change)
BU00150100,Lutjegast,BU19690100,Lutjegast,100.0,1,1,recoded (gemeente change)
BU00150109,Verspreide huizen Lutjegast,BU19690109,Verspreide huizen Lutjegast,100.0,1,1,recoded (gemeente change)
BU00150200,Opende-West,BU19690200,Opende-West,100.0,1,1,recoded (gemeente change)
BU00150201,Opende-Oost,BU19690201,Opende-Oost,100.0,1,1,recoded (gemeente change)
BU00150202,Kornhorn,BU19690202,Kornhorn,100.0,1,1,recoded (gemeente change)
BU00150209,Verspreide huizen ten zuiden van Opende,BU19690209,Verspreide huizen ten zuiden van Opende,100.0,1,1,recoded (gemeente change)
BU00150300,Niekerk,BU19690300,Niekerk,100.0,1,1,recoded (gemeente change)
BU00150301,Oldekerk,BU19690301,Oldekerk,100.0,1,1,recoded (gemeente change)
BU00150309,Verspreide huizen Oldekerk,BU19690309,Verspreide huizen Oldekerk,100.0,1,1,recoded (gemeente change)
BU00170000,Haren,BU00141702,Haren-Zuidoost,30.8,12,1,split
BU00170001,Oosterhaar,BU00141800,Oosterhaar,77.9,6,1,split
BU00170002,Voorveld,BU00141708,Buitengebied Haren-Zuidoost,52.7,7,1,split
BU00170003,Harenermolen,BU00141903,Buitengebied Glimmen,44.5,6,2,merged
BU00170004,Glimmen,BU00141903,Buitengebied Glimmen,65.6,2,2,merged
BU00170005,Hemmen,BU00141703,Haren-Noord,60.3,4,1,split
BU00170100,Noordlaren,BU00141902,Noordlaren Dorp,54.6,2,1,split
BU00170101,Onnen,BU00141901,Onnen Dorp,56.5,2,1,split
BU00170102,Paterswolde (gedeeltelijk),BU00141707,Paterswoldsemeer,100.0,1,2,recoded (gemeente change)
BU00170103,Essen,BU00141704,Essen,99.1,2,1,recoded (gemeente change)
BU00170106,Verspreide huizen ten westen van Noord-Willemskanaal,BU00141707,Paterswoldsemeer,66.9,4,2,merged
BU00170107,Verspreide huizen op de Hondsrug,BU00141905,Buitengebied Noordlaren,53.3,8,1,split
BU00170108,Verspreide huizen Onner Esch,BU00141904,Buitengebied Onnen,82.1,10,2,merged
BU00170109,Verspreide huizen ten oosten van de Hondsrug,BU00141904,Buitengebied Onnen,52.9,8,2,merged
BU00180101,Noorderpark,BU19520101,Noorderpark,100.0,1,1,recoded (gemeente change)
BU00180102,Westerpark,BU19520102,Westerpark,100.0,1,1,recoded (gemeente change)
BU00180103,Beukemabuurt,BU19520103,Beukemabuurt,100.0,1,1,recoded (gemeente change)
BU00180104,Oosterpark,BU19520104,Oosterpark,98.0,2,1,split
BU00180105,Martenshoek,BU19520105,Martenshoek en Industriegebied Martenshoek,100.0,3,1,recoded (gemeente change)
BU00180106,Industriegebied Martenshoek,BU19520107,Industriegebied Martenshoek,99.1,4,1,recoded (gemeente change)
BU00180107,Stadshart-Noord,BU19520106,Stadshart-Noord,100.0,1,1,recoded (gemeente change)
BU00180201,Spoorstraat en Kieldiep,BU19520201,Spoorstraat en Kieldiep,100.0,1,1,recoded (gemeente change)
BU00180202,Burgemeester van Royenstraat en omgeving,BU19520202,Burgemeester van Royenstraat en omgeving,100.0,1,1,recoded (gemeente change)
BU00180203,Gorecht-Noord,BU19520203,Gorecht-Noord,100.0,1,1,recoded (gemeente change)
BU00180204,Gorechtpark,BU19520210,Gorechtpark,93.6,2,1,split
BU00180205,Gorecht-West,BU19520205,Gorecht-West,100.0,1,1,recoded (gemeente change)
BU00180206,Woldwijck-West,BU19520206,Woldwijck-West,98.9,2,1,split
BU00180207,Woldwijck-Midden,BU19520207,Woldwijck-Midden,99.9,3,1,recoded (gemeente change)
BU00180208,Woldwijck-Oost,BU19520208,Woldwijck-Oost,99.9,2,1,recoded (gemeente change)
BU00180209,Kropswolderpolder,BU19520209,Kropswolderpolder,99.8,2,1,recoded (gemeente change)
BU00180210,Gorechtpark-Oost,BU19520204,Gorechtpark-Oost,100.0,1,1,recoded (gemeente change)
BU00180301,Stadshart-Zuid,BU19520301,Stadshart-Zuid,100.0,2,1,recoded (gemeente change)
BU00180302,Zuiderpark,BU19520302,Zuiderpark,88.3,4,1,split
BU00180303,De Dreven,BU19520303,De Dreven,100.0,2,1,recoded (gemeente change)
BU00180304,De Vosholen-West,BU19520304,De Vosholen-West,87.1,4,1,split
BU00180305,Kalkwijk-Zuid,BU19520306,Kalkwijk-Zuid,96.8,4,1,split
BU00180306,Kalkwijk-Noord,BU19520305,Kalkwijk-Noord,100.0,1,1,recoded (gemeente change)
BU00180501,Kiel-Windeweer,BU19520501,Kiel-Windeweer,95.3,2,1,split
BU00180502,Kiel-Windeweer Buiten,BU19520502,Kiel-Windeweer Buitengebied,96.6,5,1,split
BU00180601,Recreatiegebied Meerwijck,BU19520603,Kropswolde Recreatiegebied,98.5,3,2,merged
BU00180602,Polder Kropswolde,BU19520604,Kropswolde Buitengebied,86.0,7,2,merged
BU00180603,Meerwijck,BU19520602,Meerwijck,95.7,3,1,split
BU00180604,Polder Wolfsbarge,BU19520604,Kropswolde Buitengebied,91.6,3,2,merged
BU00180605,Kropswolderbuitenpolder,BU19520603,Kropswolde Recreatiegebied,99.5,8,2,recoded (gemeente change)
BU00180606,Kropswolde,BU19520601,Kropswolde,69.7,4,1,split
BU00180701,Foxhol,BU19520701,Foxhol,99.3,3,1,recoded (gemeente change)
BU00180702,Foxholsterbosch,BU19520702,Foxhol Industriegebied,96.7,8,1,split
BU00180801,Westerbroekstermolenpolder,BU19520803,Westerbroek Buitengebied,98.5,4,1,split
BU00180802,Westerbroekstermadepolder,BU19520805,Westerbroek Recreatiegebied,98.1,3,1,split
BU00180803,Industriegebied Winschoterdiep,BU19520804,Westerbroek Industriegebied,54.8,6,1,split
BU00180804,Westerbroek,BU19520802,Westerbroek,85.6,2,1,split
BU00180901,Waterhuizen,BU19520801,Waterhuizen,56.1,4,1,split
BU00181101,Magrietpark,BU19520401,Magrietpark,94.8,3,1,split
BU00181102,Sappemeer-Oost,BU19520402,Sappemeer-Oost,88.0,3,1,split
BU00181103,Boswijck-West,BU19520403,Boswijck-West,99.5,2,1,recoded (gemeente change)
BU00181104,Boswijck-Oost,BU19520404,Boswijck-Oost,100.0,2,1,recoded (gemeente change)
BU00181105,Compagniesterpark,BU19520405,Compagniesterpark,100.0,2,1,recoded (gemeente change)
BU00181106,De Vosholen-Oost,BU19520406,De Vosholen-Oost,80.0,3,1,split
BU00181107,Nieuw Woelwijck,BU19520407,Nieuw Woelwijck,99.8,5,1,recoded (gemeente change)
BU00181108,Polder De Nijverheid,BU19520408,Polder De Nijverheid,100.0,2,1,recoded (gemeente change)
BU00181109,Sappemeer-Noord,BU19520409,Sappemeer-Noord,100.0,2,1,recoded (gemeente change)
BU00220001,Diepswal,BU19690401,Diepswal,100.0,1,1,recoded (gemeente change)
BU00220002,Centrum Leek en omgeving,BU19690402,Centrum Leek en omgeving,100.0,1,1,recoded (gemeente change)
BU00220003,Rodenburg en omgeving,BU19690403,Rodenburg en omgeving,100.0,1,1,recoded (gemeente change)
BU00220004,Nienoordsrand,BU19690404,Nienoordsrand,100.0,1,1,recoded (gemeente change)
BU00220008,Buitengebied ten oosten van Leek,BU19690408,Buitengebied ten oosten van Leek,100.0,1,1,recoded (gemeente change)
BU00220009,Buitengebied ten zuiden van Leek,BU19690409,Buitengebied ten zuiden van Leek,100.0,1,1,recoded (gemeente change)
BU00220100,Bebouwde kom Zevenhuizen,BU19690500,Bebouwde kom Zevenhuizen,100.0,1,1,recoded (gemeente change)
BU00220101,De Haspel,BU19690501,De Haspel,100.0,1,1,recoded (gemeente change)
BU00220102,Drostinnewijk,BU19690502,Drostinnewijk,100.0,1,1,recoded (gemeente change)
BU00220103,Boerenstreek,BU19690503,Boerenstreek,100.0,1,1,recoded (gemeente change)
BU00220107,Buitengebied ten noorden van Zevenhuizen,BU19690507,Buitengebied ten noorden van Zevenhuizen,100.0,1,1,recoded (gemeente change)
BU00220108,Buitengebied ten oosten van Zevenhuizen,BU19690508,Buitengebied ten oosten van Zevenhuizen,100.0,1,1,recoded (gemeente change)
BU00220109,Buitengebied ten westen van Zevenhuizen,BU19690509,Buitengebied ten westen van Zevenhuizen,100.0,1,1,recoded (gemeente change)
BU00220200,Bebouwde kom Tolbert,BU19690600,Bebouwde kom Tolbert,100.0,1,1,recoded (gemeente change)
BU00220201,Sint Maheerdt,BU19690601,Sint Maheerdt,100.0,1,1,recoded (gemeente change)
BU00220209,Buitengebied Tolbert,BU19690609,Buitengebied Tolbert,100.0,1,1,recoded (gemeente change)
BU00220400,Bebouwde kom Midwolde,BU19690700,Bebouwde kom Midwolde,100.0,1,1,recoded (gemeente change)
BU00220401,Pasop,BU19690701,Pasop,100.0,1,1,recoded (gemeente change)
BU00220409,Buitengebied Midwolde,BU19690709,Buitengebied Midwolde,100.0,1,1,recoded (gemeente change)
BU00220500,Bebouwde kom Lettelbert,BU19690800,Bebouwde kom Lettelbert,100.0,1,1,recoded (gemeente change)
BU00220509,Buitengebied Lettelbert,BU19690809,Buitengebied Lettelbert,100.0,1,1,recoded (gemeente change)
BU00220600,Bebouwde kom Oostwold,BU19690900,Bebouwde kom Oostwold,100.0,1,1,recoded (gemeente change)
BU00220609,Buitengebied-Oostwold,BU19690909,Buitengebied-Oostwold,100.0,1,1,recoded (gemeente change)
BU00220700,Bebouwde kom Enumatil,BU19691000,Bebouwde kom Enumatil,100.0,1,1,recoded (gemeente change)
BU00220709,Buitengebied Enumatil,BU19691009,Buitengebied Enumatil,100.0,1,1,recoded (gemeente change)
BU00240000,Loppersum,BU19791673,Loppersum,81.8,2,1,split
BU00240001,Garrelsweer,BU19791676,Buitengebied Noord-Loppersum,65.1,2,6,merged
BU00240002,Wirdum,BU19791676,Buitengebied Noord-Loppersum,57.6,2,6,merged
BU00240003,Wirdumerdraai,BU19791676,Buitengebied Noord-Loppersum,69.0,2,6,merged
BU00240005,Winneweer (gedeeltelijk),BU19791676,Buitengebied Noord-Loppersum,100.0,1,6,recoded (gemeente change)
BU00240008,Verspreide huizen Eemskanaal en Damsterdiep,BU19791676,Buitengebied Noord-Loppersum,100.0,3,6,recoded (gemeente change)
BU00240009,Verspreide huizen ten noorden van het Damsterdiep,BU19791676,Buitengebied Noord-Loppersum,99.2,4,6,recoded (gemeente change)
BU00240100,Stedum,BU19791777,Stedum,56.8,2,1,split
BU00240101,Westeremden,BU19791778,Westeremden,60.3,2,1,split
BU00240102,Garsthuizen (gedeeltelijk),BU19791779,Garsthuizen,54.0,2,1,split
BU00240109,Verspreide huizen Stedum inclusief Startenhuizen,BU19791780,Buitengebied Noord-Stedum,99.8,4,1,recoded (gemeente change)
BU00240200,Middelstum,BU19791881,Middelstum,69.2,2,1,split
BU00240201,Westerwijtwerd,BU19791885,Buitengebied Noord-Middelstum,83.6,2,4,merged
BU00240202,Huizinge,BU19791885,Buitengebied Noord-Middelstum,54.1,2,4,merged
BU00240203,Toornwerd,BU19791885,Buitengebied Noord-Middelstum,54.7,2,4,merged
