old_code,old_naam,new_code,new_naam,pct_retained,n_new_touched,n_old_mapping_here,change_type
BU05051012,Zuidpolder,BU05051012,Zuidpolder,100.0,1,1,unchanged
BU05051013,Belthure Park,BU05051013,Belthure Park,100.0,1,1,unchanged
BU05051100,Amazone en omgeving,BU05051100,Amazone en omgeving,100.0,1,1,unchanged
BU05051101,Palissander en omgeving,BU05051101,Palissander en omgeving,100.0,1,1,unchanged
BU05051102,Azobe en omgeving,BU05051102,Azobe en omgeving,100.0,1,1,unchanged
BU05051103,Iroko en omgeving,BU05051103,Iroko en omgeving,100.0,1,1,unchanged
BU05051104,Bedrijventerrein Groene Zoom,BU05051104,Bedrijventerrein Groene Zoom,100.0,1,1,unchanged
BU05051105,Van Ravesteijn-erf en omgeving,BU05051105,Van Ravesteijn-erf en omgeving,100.0,1,1,unchanged
BU05051106,Van den Broek-erf en omgeving,BU05051106,Van den Broek-erf en omgeving,100.0,1,1,unchanged
BU05051107,Suze Groeneweg-erf en omgeving,BU05051107,Suze Groeneweg-erf en omgeving,100.0,1,1,unchanged
BU05051108,Joke Smit-erf en omgeving,BU05051108,Joke Smit-erf en omgeving,100.0,1,1,unchanged
BU05051109,Pearl Buck-erf en omgeving,BU05051109,Pearl Buck-erf en omgeving,100.0,1,1,unchanged
BU05051110,Aletta Jacobs-erf en omgeving,BU05051110,Aletta Jacobs-erf en omgeving,100.0,1,1,unchanged
BU05051111,Johanna Naber-erf en omgeving,BU05051111,Johanna Naber-erf en omgeving,100.0,1,1,unchanged
BU05051112,Bildersteeg en omgeving,BU05051112,Bildersteeg en omgeving,100.0,1,1,unchanged
BU05051900,Weeskinderendijk en Dokweg,BU05051900,Weeskinderendijk en Dokweg,100.0,1,1,unchanged
BU05051901,Handelskade en 's-Gravendeelsedijk,BU05051901,Handelskade en 's-Gravendeelsedijk,100.0,1,1,unchanged
BU05051902,Voltastraat en omgeving - De Put,BU05051902,Voltastraat en omgeving - De Put,100.0,1,1,unchanged
BU05051903,Louterbloemen,BU05051903,Louterbloemen,100.0,1,1,unchanged
BU05051904,Wilhelminahaven,BU05051904,Wilhelminahaven,100.0,1,1,unchanged
BU05051905,Julianahaven,BU05051905,Julianahaven,100.0,1,1,unchanged
